pkey,Topic_Title,categorytype,notes,active,sdate,mdate,addedby,modedby,thefile,strength,subCategory,link
12,"Key and Character Codessss",Client-Side,"<p>Shift+Tab = 25</p>
<p>left arrow=63234</p>
<p>right arrow=63235</p>
<p>space=32</p>",1,"2005-10-29 17:46:46","2008-12-01 13:42:41",shawn,shawn,key_test.cfm,0,JavaScript,NULL
15,BookMark,Client-Side,"<p>function bookMe() {</p>
<p style=""padding-left: 30px;"">if ((navigator.appVersion.indexOf(""MSIE"") &gt; 0) &amp;&amp; (parseInt(navigator.appVersion)&gt;= 4)){ window.external.AddFavorite(""http://#companywebsite#/#thispage#"",""Bookmark Maker""); } else { alert(''Sorry, your browser does not\nsupport automatic bookmarking.\n \nFor Netscape Navigator, press Ctrl-D\n(or Command-D on the Mac).''); location.href = location.href; }</p>
<p>}</p>
<p>&nbsp;</p>
<p>Beter Link : <a href=""http://labnol.blogspot.com/2006/01/add-to-favorites-ie-bookmark-firefox.html"" target=""_blank"">http://labnol.blogspot.com/2006/01/add-to-favorites-ie-bookmark-firefox.html</a></p>",1,"2005-11-08 19:23:58","2011-07-14 12:13:39",shawn,shawn,java_bookmark.cfm,0,DHTML,NULL
16,"Alter Table commands",Server-Side,"<p>data definition language (or DDL)</p><hr /><p><span style=""font-family: arial; font-size: 12px;"">ALTER TABLE<br /><br /><br /><br />Name<br /><br />ALTER TABLE -- Modifies table and column attributes.<br /><br /><br /><br />Synopsis<br /><br />ALTER TABLE table [ * ]<br /><br />ADD [ COLUMN ] column type<br /><br />ALTER TABLE table [ * ]<br /><br />ALTER [ COLUMN ] column { SET DEFAULT defaultvalue | DROP DEFAULT }<br /><br />ALTER TABLE table [ * ]<br /><br />RENAME [ COLUMN ] column TO newcolumn<br /><br />ALTER TABLE table<br /><br />RENAME TO newtable<br /><br />ALTER TABLE table<br /><br />ADD CONSTRAINT newconstraint definition<br /><br />ALTER TABLE table<br /><br />OWNER TO newowner<br /><br />Parameters<br /><br /><br /><br /><br /><br />table<br /><br />The name of the (existing) table you intend to modify.<br /><br /><br /><br />column<br /><br />The name of a new column, or existing column that you intend to modify.<br /><br /><br /><br />type<br /><br />The data type of a new column being created. (This is used only during the creation of a new column.)<br /><br /><br /><br />defaultvalue<br /><br />A new default value for the specified column.<br /><br /><br /><br />newcolumn<br /><br />A new name for column.<br /><br /><br /><br />newtable<br /><br />A new name for table.<br /><br /><br /><br />newconstraint definition<br /><br />The name and definition of a new table constraint to be added to an existing table. See Chapter 7 for more details on how to define a table constraint.<br /><br /><br /><br />newowner<br /><br />The new owner of table (when transferring ownership).<br /><br /><br /><br />Results<br /><br /><br /><br /><br /><br />ALTER<br /><br />The message returned when a column or table modification is completed successfully.<br /><br /><br /><br />ERROR<br /><br />The message returned if the table or column modifications cannot be completed, along with an explanation of what failed, if possible.<br /><br /><br /><br />Description<br /><br /><br /><br />The ALTER TABLE command is used to modify the structure of tables existing within a database in various ways. To rename a column or table, use the RENAME keyword. Renaming in this manner will not alter any of the data in either a column or a table. If you wish to add a new table constraint to a table, use the ADD CONSTRAINT clause with the same constraint syntax used with CREATE TABLE for a table constraint (see CREATE TABLE"").<br /><br /><br /><br />As of the most current version of PostgreSQL available at this printing (7.1.x), the only constraints that can be added to a table through the ADD CONSTRAINT clause are the CHECK and FOREIGN KEY constraints. To implicitly add a UNIQUE constraint, a workaround is to create a UNIQUE index, using the CREATE INDEX command (see CREATE INDEX""). To add any other constraints, you will have to recreate and reload data into the table in question.<br /><br /><br /><br />To add a new column to a table, use ADD COLUMN with the same column syntax used in CREATE TABLE (see CREATE TABLE""). To modify or delete a column''s default setting, use ALTER COLUMN with either the SET DEFAULT or DROP DEFAULT clause. (Remember that defaults are only applicable to newly added rows, and will not affect existing rows.)<br /><br /><br /><br />As of PostgreSQL 7.1.x, you are not able to set the default value or constraint settings for a column at the same time as when it is added with the ADD COLUMN clause. You can, however, use the SET DEFAULT clause of ALTER TABLE to set the default values after the column is created. If you do this after the table has been in use for any period of time, be sure to use the UPDATE command to update the column''s data in any existing rows to the new default.<br /><br /><br /><br />Note: You must be the owner of a table, or a superuser, in order to modify it.<br /><br /><br /><br />Examples<br /><br /><br /><br />The following example adds a text column named address to the employees table:<br /><br /><br /><br />booktown=# ALTER TABLE employees ADD COLUMN address text;<br /><br />ALTER<br /><br />Next, the newly added address column is renamed to mailing_address:<br /><br /><br /><br />booktown=# ALTER TABLE employees RENAME COLUMN address TO mailing_address;<br /><br />ALTER<br /><br />The following example renames the employees table to personnel:<br /><br />booktown=# ALTER TABLE employees RENAME TO personnel;<br /><br />ALTER<br /><br /><br /><br />The following example then changes the owner of the personnel table to the PostgreSQL user jonathan:<br /><br />booktown=# ALTER TABLE personnel OWNER TO jonathan;<br /><br />ALTER<br /><br />Finally, the following syntax adds a FOREIGN KEY constraint to the schedules table named valid_employee, which verifies the employee id column in the personnel table:<br /><br /><br /><br />booktown=# ALTER TABLE schedules ADD CONSTRAINT valid_employee<br /><br />booktown-# FOREIGN KEY (employee_id)<br /><br />booktown-# REFERENCES personnel (id) MATCH FULL;<br /><br />NOTICE: ALTER TABLE ... ADD CONSTRAINT will create implicit trigger(s) for<br /><br />FOREIGN KEY check(s)<br /><br />CREATE<br /><br /><br /><br />[SQL]<br /><br />ALTER TABLE tablename TO tablename2<br /><br />ALTER TABLE tablename ADD fieldname fieldtype [BEFORE fieldname2]<br /><br />ALTER TABLE tablename DROP fieldname<br /><br />ALTER TABLE tablename MOVE fieldname [BEFORE fieldname2]<br /><br />ALTER TABLE tablename RENAME fieldname TO fieldname2</span></p>",1,"2005-11-12 01:44:38","2008-04-17 09:34:59",shawn,shawn,NULL,4,"MS SQL",NULL
17,"Drag and Resize",Client-Side,"Requires &#39; transparentpixel.gif &#39; for browser compability... Its a 1 x 1 transparent image.<hr /><html>
<head>
<META HTTP-EQUIV=""imagetoolbar"" CONTENT=""no"">
</head>

<body><script type=""text/javascript"" src=""wz_dragdrop.js""></script>
  <center>
    <img name=""main"" src=""http://virgindata.com/pre_images/mail_01.gif"" width=""65"" height=""41"" alt=""Double-click on me..."">
   </center>
<script type=""text/javascript"">
<!--
SET_DHTML(CURSOR_MOVE, RESIZABLE, NO_ALT, SCROLL,""main"");
//-->
</script></body></html>",1,"2005-11-12 11:51:41","2007-09-21 10:48:20",shawn,shawn,wz_dragdrop.js,5,DHTML,NULL
21,"HTML to PDF",Server-Side,"Never used... from CF South Florida<hr />",1,"2005-12-24 15:49:09","2007-09-21 10:17:07",shawn,shawn,html2pdf.zip,0,ColdFusion,NULL
22,"Bulletin Board System",Server-Side,"Never used... from CF South Florida<hr />",1,"2005-12-24 15:49:09","2007-09-21 10:17:09",shawn,shawn,bare-bones-bboard.zip,0,ColdFusion,NULL
25,"Creating scrollable content inside window",Client-Side,"its all in the <hr />overflow-x:auto
overflow-y:auto

<div id=""zCalT3"" name=""zCalT3"" class=""Tab_""  style=""height:200px; width:200px; overflow: auto"" align=""center"">
<br><b>Guest Visitor (Default) Screen</b>
<br><br>
<h4 style=color=red>Your Popup Blocker May Block Demo</h4>
<a href=""index.cfm?fuseaction=zCalPro.demo""><h4>Run Full Online Demo</h4></a>
<a target=""_blank"" href=""http://www.slaor.org/index.cfm?fuseaction=Calendar.home""><h4>NEW! VISIT OUR CLIENT''S SITE USING zCalPro!</h4></a>
<br><br><hr>
<b>Weekly Outlook Screen</b>
test test test
<br><br>
test test testtest test testtest test testtest test testtest test test
<br><br><hr><br><br>
<a href=""index.cfm?fuseaction=zCalPro.demo""><h4>Run Online Demo</h4></a>
<br><br>
</div>",1,"2006-01-09 10:45:35","2007-09-21 11:04:24",shawn,shawn,,0,DHTML,NULL
26,"ColdFusion Learners Page",Server-Side,"<hr />need to prevent index.cfm from being uploaded.",1,"2006-01-20 16:30:55","2007-09-21 10:26:51",shawn,shawn,index.cfm,0,ColdFusion,NULL
27,"Getting URL variables",Client-Side,<p>search.location</p>,1,"2006-01-22 21:06:16","2009-01-05 19:39:38",shawn,shawn,NULL,0,JavaScript,NULL
28,"CF Standards Manual",Server-Side,"Windows Word File<hr />",1,"2006-01-23 09:58:51","2007-09-21 10:26:55",shawn,shawn,cfstandards.doc,0,ColdFusion,NULL
